chromosome,U2OS,RPE1,BJ
chr1,8.024052224929061,5.215633946203889,3.610823501218077
chr2,6.5789643298134655,6.167779059200123,1.2335558118400247
chr3,5.049932979814458,7.069906171740241,9.594872661647472
chr4,4.708238909602001,12.032166102316225,8.370202505959114
chr5,7.185684612785014,9.396664493641941,6.08019467235655
chr6,5.259618663504366,9.350433179563318,7.012824884672488
chr7,7.540593702235641,10.054124936314187,6.912210893716004
chr8,11.614876229624244,12.298104243131553,3.4161400675365425
chr9,5.665183505101579,8.49777525765237,2.8325917525507895
chr10,12.542909015058699,4.426909064138364,2.951272709425576
chr11,5.92563991503936,11.85127983007872,5.18493492565944
chr12,5.229660738086674,12.700604649639066,5.976755129241913
chr13,9.551108493837251,13.892521445581457,4.341412951744205
chr14,1.8630727248575076,13.973045436431306,6.5207545370012765
chr15,3.9012442160153253,6.8271773780268195,7.802488432030651
chr16,5.533743199984178,5.533743199984178,13.280983679962027
chr17,3.6947992375412295,16.010796696011994,7.389598475082459
chr18,2.5615656945285776,16.650177014435755,8.965479930850021
chr19,20.294615924647307,15.22096194348548,5.073653981161827
chr20,3.173317729072287,9.519953187216862,1.5866588645361435
chr21,4.155421490115447,12.466264470346342,0.0
chr22,1.9491442535543524,3.898288507108705,5.847432760663057
chrX,3.2201854620734283,5.796333831732171,2.576148369658743
chrY,0.0,0.0,0.0
